year,ffdi_90th
1971,14.47
1972,17.62
1973,16.94
1974,14.02
1975,16.98
1976,16.22
1977,19.83
1978,17.37
1979,18.58
1980,22.43
1981,19.46
1982,21.67
1983,18.85
1984,17.87
1985,19.99
1986,20.22
1987,19.82
1988,20.77
1989,16.77
1990,19.56
1991,21.88
1992,17.73
1993,17.18
1994,21.89
1995,19.47
1996,19.83
1997,20.0
1998,19.95
1999,17.7
2000,17.63
2001,19.96
2002,23.62
2003,22.31
2004,21.63
2005,20.9
2006,22.8
2007,23.48
2008,22.07
2009,23.81
2010,18.98
2011,16.69
2012,20.14
2013,23.07
2014,23.63
2015,21.62
2016,20.24
2017,18.91
