decade,month,ffdi_90th
1970s,Apr,15.5
1970s,Aug,11.9
1970s,Dec,22.9
1970s,Feb,22.9
1970s,Jan,22.9
1970s,Jul,11.9
1970s,Jun,11.9
1970s,Mar,15.5
1970s,May,15.5
1970s,Nov,18.6
1970s,Oct,18.6
1970s,Sep,18.6
1980s,Apr,18.5
1980s,Aug,12.4
1980s,Dec,25.7
1980s,Feb,25.7
1980s,Jan,25.7
1980s,Jul,12.4
1980s,Jun,12.4
1980s,Mar,18.5
1980s,May,18.5
1980s,Nov,22.5
1980s,Oct,22.5
1980s,Sep,22.5
1990s,Apr,18.8
1990s,Aug,13.3
1990s,Dec,24.1
1990s,Feb,24.1
1990s,Jan,24.1
1990s,Jul,13.3
1990s,Jun,13.3
1990s,Mar,18.8
1990s,May,18.8
1990s,Nov,21.9
1990s,Oct,21.9
1990s,Sep,21.9
2000s,Apr,20.1
2000s,Aug,15.6
2000s,Dec,26.2
2000s,Feb,26.2
2000s,Jan,26.2
2000s,Jul,15.6
2000s,Jun,15.6
2000s,Mar,20.1
2000s,May,20.1
2000s,Nov,25.4
2000s,Oct,25.4
2000s,Sep,25.4
2010s,Apr,18.1
2010s,Aug,13.7
2010s,Dec,26.0
2010s,Feb,26.0
2010s,Jan,26.0
2010s,Jul,13.7
2010s,Jun,13.7
2010s,Mar,18.1
2010s,May,18.1
2010s,Nov,24.6
2010s,Oct,24.6
2010s,Sep,24.6
