year,anomaly,ffdi_90th,decade
1971,-0.22,14.47,1970s
1972,0.15,17.62,1970s
1973,0.53,16.94,1970s
1974,-0.7,14.02,1970s
1975,-0.22,16.98,1970s
1976,-0.75,16.22,1970s
1977,-0.03,19.83,1970s
1978,-0.31,17.37,1970s
1979,0.38,18.58,1970s
1980,0.74,22.43,1980s
1981,0.27,19.46,1980s
1982,-0.04,21.67,1980s
1983,0.33,18.85,1980s
1984,-0.38,17.87,1980s
1985,0.21,19.99,1980s
1986,0.22,20.22,1980s
1987,0.18,19.82,1980s
1988,0.74,20.77,1980s
1989,-0.02,16.77,1980s
1990,0.47,19.56,1990s
1991,0.6,21.88,1990s
1992,0.13,17.73,1990s
1993,0.31,17.18,1990s
1994,0.18,21.89,1990s
1995,0.16,19.47,1990s
1996,0.6,19.83,1990s
1997,0.3,20.0,1990s
1998,0.97,19.95,1990s
1999,0.32,17.7,1990s
2000,-0.04,17.63,2000s
2001,0.05,19.96,2000s
2002,0.71,23.62,2000s
2003,0.7,22.31,2000s
2004,0.54,21.63,2000s
2005,1.17,20.9,2000s
2006,0.5,22.8,2000s
2007,0.76,23.48,2000s
2008,0.45,22.07,2000s
2009,0.93,23.81,2000s
2010,0.34,18.98,2010s
2011,-0.0,16.69,2010s
2012,0.25,20.14,2010s
2013,1.35,23.07,2010s
2014,1.05,23.63,2010s
2015,0.95,21.62,2010s
2016,0.99,20.24,2010s
2017,1.05,18.91,2010s
